Date	Rev	URL	Changelog
2011-07-12	1	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_7-12-11.doc	"    5.1.4 Introduction of the concept of supplemental grammars.
    5.3 Introduction of concept of Static Semantic Rules
    8.6.2 and various places. Eliminated [[Class]] internal property. Added various internal trademark properties as a replacement.
    10.1.2 defined the concept of Ågextended codeÅh that means code that may use new Es.next syntax. Also redefined Ågstrict codeÅh to mean either ES5 strict mode code or extended code.
    11.1.4 added syntax and semantics for use of spread operator in array literals
    11.1.5 added syntax and semantics for property value shorthand and various semantic helper abstract operations.
    11.2, 11.2.4 added syntax and semantics for spread operator in argument lists
    11.13 Add syntax and semantics for destructuring assignment operator.
    12.2 Added BindingPattern syntax and partial semantics to support destructuring in declarations and formal parameter lists.
    13 Added syntax to support rest parameter, parameter default values, and destructuring patterns in formal parameter lists. Also static semantics for them. However, instantiation of such parameters is not yet done. Defined the argument list ÅglengthÅh for such enhanced parameter lists.
    15 Clarified that clause 15 function specifications are in effect the definition of [[Call]] internal methods.
    15.2.4.2 Respecified toString to not use [[Class]]. Note that adding an explicit extension mechanism is still a to-do.
    Annex B Retitled as normative optional features of Web Browser ES implementations
"
2011-07-25	2	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_7-25-11.doc	Mostly typo corrections (thanks for all the reports) and corrections to problems that have been reported against ES5.1. See closed 6th edition bugs at bugs.ecmascript.org. 
2011-09-23	3	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_9-23-11.doc	"
    Resolved as fixed bugs 137, 140,167, 177, 183,184,185,186,187,188,189,190,191,193,196,196
    Merged multiple built-in ÅgclassÅh branding internal properties into a single [[NativeBrand]] internal property
    In 10.2, change environment records so that both mutable and immutable bindings may be in an initialized state and must be initialized before use via InitializeBinding
    In 10.5 added separate algorithm for Block declaration instantiation. Block level declaration instantiations now specified. Function and global level still need to be updated to support let and const
    Added a Declaration production to the grammar and changed StatementList to include both Statement and Declaration
    Added let and const declarations. var declarations still hoist to function level and must not conflict with a let or const.
    Hoisting and temporal dead zone for all block scoped declarations
    Added semantics for destructuring binding pattern.
    Added appropriate lexical scoping for declarations in bodies of switch and try statements. Note that for statements still need work for declarations in for head.
    Added initializers for individual property level bindings in destructure bindings
"
2011-11-07	4	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_11-7-11.doc	"
    New issue bugs: 221,222
    Introduced the term Ågbase codeÅh to mean code that is neither strict or extended.
    Changed organization and presentation conventions for static and runtime semantics, Note that some parts of the spec. have not yet been switched to the new conventions.
    Refactors Literal production to make it easier to talk about non-null literals
    Added a [[Strict]] internal property for functions to make it easier to talk about strict mode code. Changed the definition of the [[Code]] and [[FormalParameters]] internal properties of function objects.
    Moved function parameter initialization into 10.4.3 ÅgEntering Function CodeÅh
    Added semantics for new function parameter forms in extended code.
    Refactored Declaration Binding Instantiations into separate subsections for different situations
    Added declaration instantiation for extended code functions.
    Refactored argument object creation into separate algorithms for strict and non-strict functions.
    Made FunctionExpression a PrimaryExpression
    Started grammar modifications to support #[ ] and #{ } as agreed to at Sept. TC39 meeting. Incomplete
    Added grammar productions for concise methods in object literals. Semantics still to come
    First cut at grammar productions for super property access and <| operator
    Started migrating some expository text into informative notes.
    Added static semantic algorithms for processing lexical scoped declarations
    Finished semantics for binding destructuring patterns in declarations, catch parameter, and function formal parameters
    Made sure exceptions during processing of default parameter initializes are handled
    Major record for semantics of function declaration in section 13
"
2012-01-16	5	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_1-16-12_.doc	"
    Various proses descriptions and introductions have been converted into non-normative notes.
    Some preliminary work was done in support of super references and super calls (incomplete)
    Various editorial minor corrections
    Updates to function declaration instantiation in support of extend mode formal parameter scoping decisions made at Nov 2011 TC39 meeting.
    Changes to spread in destructing assignment in ArrayLiteral to conform to decisions made at Nov. 2011 TC39 meeting.
    Added static and runtime semantics for concise method properties in object literals.
    Converted ES5 algorithmic strict mode errors into declarative early errors for Unary and Postfix expressions
    Added is and isnt operators
    Eliminated ÅgaugmentsÅh as a possible formal parameter name for extended code
"
2012-02-27	6	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_2-27-12.doc	"
    Eliminated Ågextended modeÅh in support of Ågone JavaScriptÅh plan, all new features are generally available in all modes.
    Eliminated various static semantic rules that would be breaking changes in Ågone JavaScriptÅh
    Added support for for-in, for-of, and first cut at lexically scoped for(;;).
    Added section B.3.1 with specifies __proto__ feature.
    Did spec. changes to implement Ågcompletion reformÅh.
    Did most of the work to pervasively use completion results for expressions as well as statements. Still some work to do in sections 10 and 15 but all of expressions and the Array methods have all been updated to handle completion records as general results. See 8.8 for enhance completion record internal API. Note that observable occurrence points are more precisely specified for many exception that had been informally ÅgthrownÅh by various specification algorithms.
    Added [[Enumerate]] and [[Iterate]] internal methods for normal objects.
    Generalized the List special type to also include a Record specification type.
    Added an Invoke abstract operation that is used to internally Ågcall methodsÅh
    Added syntactic productions for array comprehensions, generators and Generator comprehensions. No semantics yet.
    Converted prose specification of labelled statements into algorithmic spec. Added BreakableStatement production that includes IterationStatement and SwitchStatement.
    Refactored let/const into a single set of productions and semantics rules.
    Many minor edits and typo/bug corrections, see bugs.ecmascript.org for details.
    Preliminary work in support of super references and super calls is still incomplete
"
2012-05-04	7	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_5-4-12.doc	"
    Clarified that IdentifierNames can include escape sequences
    Added syntax and semantics for Binary and Octal integers
    Extended Reference to support super references
    Added semantics for super in MemberExpressions and CallExpressions
    Added abstract operations for Object and Array creations
    Added arrow functions (13.2) and concise methods (13.3)
    Preliminary introduction of code ÅgRealmsÅh (contexts with their own globals, intrinsics, etc.) (incomplete)
    Added Method Environment Records as part of super support
    Extensions to execution contexts needed to support generators, super, and code realms
    Eliminated Ågenter execution contextÅh algorithms by merging them with [[Call]], eval, Program etc.
    General migration of most material related to functions and their execution into Chapter 13.
    Added additional explicit checks of completion values.
    made yield illegal outside of generators
    additional work/cleanup on for-in/for-of (prep for array comprehensions)
    Started tracking Annex D and E additions
    refactored ÅgCreating Function ObjectsÅh into separate function and constructor creation abstract operations.
    added Object.isObject
    added Array.of and Array.from and cleanup Array constructor specification
    added String.prototype repeat, startsWith, endsWith, contains, toArray
    clarification of Number.MIN_Value for Arm processors (that donÅft support denormalized numbers)
    added Number.EPSILON,MAX_INTEGER,parseInt, parseFloat,isNaN,isFinite, isInteger, toInt
    added Number.prototype.clz
    added Math.log10, log2, log1p, expm1, cosh, sinh, tanh, acosh, asinh, atanh, hypot, trunc, sign, cbrt
"
2012-06-15	8	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_6-15-12.doc	"Changes from May TC39 Review
    Tentative addition of Class Definitions Syntax and Semantics in 13.5 based upon Maximally Minimal Strawman. NOTE-Classes do not yet have full consensus within TC39 and may not survive.
    11.1.5 make super references illegal in method definitions within object literals
    removed <| and TriangleLiterals
    reverted methods to only have bracketed function bodies rather than concise bodies
    Removed Object.isObject
    Removed String.prototype.toArray
    Eliminated requirement for buggy daylight savings time adjustment
Other changes
    5.1.1 , 5.2 Defined Ågchain productionÅh and implicit algorithm pass through for chain productions. Eliminated unnecessary pass through algorithms
    Eliminate final remnants of ES1 line number references within algorithm conventions
    Moved Literal from lexical to syntactic grammar
    Updated keywords list
    10.1.2 /10.4 introduce concept of non-ECMAScript functions and execution contexts for them
    11.1.4.2 tweaks to Array Comprehension syntax
    made it an early error to use a reserved word as a single identifier property definition shorthand
    added default value initializers to internal elements and properties of destructuring assignment patterns
    corrected major case statement semantic bug from ES5.1
    made YieldExpressions illegal in parameter default value initializers
    made home object binding of methods contingent upon them actually referencing super
    added [[ThisMode]] internal property to functions via FunctionCreate to deal with lexical this binding in arrow functions
    made super references and yield expressions early errors in ProgramBody
    In Math.sign clarified handling of -0
    Added String.prototype HTML wrapping functions to Annex B
    Merged ES5.2 Annex F into Annex D&E
    Made Annex F an Informative Summary of Static Semantic algorithms
    Fixed bugs 281,340,343,346-349,351-356,358-367,369-376,378-380,382,384-386
"
2012-07-08	9	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_7-8-12.doc	"
    Quasi literal added to specification
    Initial work at defining tail call semantics (still need to define tail positions in 13.7)
    Initial pass at replacing native/host object terminology with ordinary/exotic objects
    Clause 6 and others updated to clarify processing of full Unicode source code. Revised usage of Ågcode unitÅh and Ågcode pointÅh
    Specification of Identifiers updated to use current Unicode specification devices
    Äu{nnnnnn} Unicode code point escapes added
    UTF-16 encoding for non-BMP characters in string literals now fully specified
    Added functions: String.fromCodePoint, String.raw (a quasi tag function), String.prototype.codePointAt
    ECMAScript now requires use of Unicode 5.1.0, normative references updated
    A syntactic grammar notation was added for indicating when alternative lexical goals are required
    Fixed ES5 missing explicitly setting length in several array functions
    Fixed bugs: 368, 388-399, 402-405, 410-413, 415-416,418, 420-428, 430-439, 445-456,458-461
"
2012-09-27	10	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_9-27-12.doc	"
    Significant reworking of the use of cover grammars for unambiguously defining assignment restructuring patterns and for arrow function formal parameters.
    Renaming of Quasis to Template Strings
    Incorporated Class definition semantic decisions from July TC39 meeting
    Make concise methods enumerable, as per Sept. TC39 meeting.
    A first cut at making Object.prototype.toString extensible via a Unique Symbol extension point.
    Started to rough in binary data and typed arrays into Section 15. At this point it is mostly just material copied directly from wiki proposals. Lots of integration and detailed specification work remains.
    Fully specified Map builtin as 15.14. This also serves as model for how other new built-in collections will be specified.
    Roughed in section 15 places holders for Set, Weakmap, Proxy, and the Reflect module. Feedback on overall organization of this material is welcome.
    Many fixes of both unreported and reported bugs, including:256, 464-468,470-479, 482-484,486,488,490-497,499,502,506,506-510,514, 515, 520, 521, 527, 529-537,539-559, 561-564, 566-569, 571, 572, 576, 579-587, 589, 592, 597-599, 601-609,612, 614-616, 618, 620-623, 626, 628-630, 633,635,639-644,650,653
"
2012-10-26	11	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_10-26-12.doc	"
    Changed the name of the Program grammar production to Script. Updated the syntax, static and runtime semantics of Script in 14.1
    In 10.1, defined the terms Ågmodule codeÅh and Åggenerator codeÅh.
    Specified semantics of global environment records and and global declaration instantiation semantics in line with the Sept. 2012 TC39 meeting decisions.
    Specified WeakMap and Set
    Added iterator functions and iterator objects for Array
    Added Map clear method
    Made Map size an accessor property
    Updated function declaration instantiation semantics to reflect Sept. 2012 TC39 discussion of function parameters. However, there are likely to be more changes following the next meeting.
    Some refactoring of early errors associated with places that use cover grammars.
    Work on semantics of var/function declarations at top levels of functions and scripts.
    Updated early error rules for formal function parameters based upon recent es-discuss thread.
    Chapter 15 functions now get poison pills for ÅgargumentsÅh and ÅgcallerÅh.
    Changed Object.defineProperties to defer exceptions until all property updates are completed.
    Stubbed in a place holder for Object.assign.
    Made it explicit that Function.prototype does not have a prototype property.
    Resolved bugs: 817-813, 812, 810, 805, 804-799, 796, 795, 792, 790-787, 784, 783, 780-777, 761-757, 755-751, 748, 747, 745-735, 733, 732, 726-716, 714, 712, 710, 706-700, 694, 690-683, 681-679, 674, 671-664, 658, 636, 627, 626, 614, 591, 570, 504, 496-494, 414, 401, 357, 312, 265, 260, 247, 214, 182, 153
"
2012-11-22	12	http://wiki.ecmascript.org/lib/exe/fetch.php?id=harmony%3Aolder_es6_drafts&cache=cache&media=harmony:working_draft_ecma-262_edition_6_11-22-12.doc	" This is a major revision that takes the first step at reforming the internal Meta-Object Protocol (the Åginternal methodsÅh) and extending it to support Proxies. Quite a bit of material has moved within the document. The overall document organization is in a state of flux and some sections will be moved in the future. For now, somethings have been temporarily left in their old locations to preserve change markup relative to ES 5.1 that might otherwise get lost.
Changes include:
    Reorganized Chapter 8 into separate language type and specification type sub sections
    Added Symbol property keys to the definition of the Object Type. terminology migration from talking about Ågproperty namesÅh to Ågproperty keysÅh.
    Restructured 8.6.2 (now 8.1.6.2) as the abstract interface definition of the internal object MOP. eliminated Table 9 (Internal props of only some objects) and distribute related material to definitions of specific object forms. Moved discussion of internal method invariants plus invariant enforced by proxies into separate place order subsection. This needs a complete rewrite to clearly define the actual internal methods invariants.
    MOP changes: Added [[GetInheritance]]/[[SetInheritance]] as internal methods for accessing [[Prototype]] internal prototype chain. Added [[[IsExtensible]]/[[PreventExtensions]]. Replaced [[Get]]/[[Put]] with [[GetP]]/[[SetP]]. At some point we may be able to rename these as [[Get]]/[[Set]]. Eliminated [[GetProperty]], [[CanPut]], [[HasProperty]], [[DefaultValue]]. Added Keys, [[OwnPropertyKeys]], [[Freeze]], [[Seal]], [[IsFrozen]], [[IsSealed]].
    [[DefaultValue]] now part of ToPrimitive with a possible dispatch through a @@ToPrimitive symbol keyed method on objects. Define a @@ToPrimitive method on Date.prototype to take care of special date [[DefaultValue]] rules.
    As part of Ågproto climbingÅh reform refactored GetValue and PutValue to directly incorporate the logic for property references on primitive values. Eliminated special [[Put]] and [[Get]] for primitive bases.
    Eliminated all ÅgstrictÅh arguments to internal methods that were used to request trapping in strict modeÅh. All such methods now always return true/false success status. ItÅfs up to the called (usually via a convenience function) to throw on failure.
    Section 8.3-8.5 now provided the concrete implementation of the MOP interface for all ordinary and exotic object forms defined in the specification. this will eventually move into a new top level section following the current section 10.
    Defined Symbol objects as a kind of exotic object. Its internal methods make it stateless and immutable.
    In 9.3 added a number of convenience functions that operate at the level of the generic object MOP. These can be thought of as generic ÅgderivedÅh operations that will work with any kind of object. They are now used throughout the specification.
    Added Table 25 (incomplete) in 10.3 to define the Ågintrinsic objectsÅh of a code realm
    instanceof operator no longer uses an internal method. Instead, extensible via a @@hasInstance symbol-keyed regular method.
    Restated most Object.* reflection functions to delegate to corresponding MOP internal method.
    Defined all of the functions in the @Reflect module corresponding to MOP internal operations.
    Resolved bugs: 982, 979, 978, 973, 971-969, 966, 960, 958-956, 954-952, 950, 948-945, 943-936, 934-925, 923, 920-914, 912-904, 902-883, 881-873, 870-853, 851-839, 837-818, 808, 785, 672, 591, 400, 150, 100
"
